"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bouwen en wonen/Woningvoorraad/Voorraad op 1 januari (aantal)";"Onderwijs/Naar schoolgemeente/Leerlingen/Basisonderwijs (aantal)"
"2005";"Medemblik";8047;3269;880
"2006";"Medemblik";8096;3345;815
"2007";"Medemblik";26569;10505;2789
"2008";"Medemblik";26682;10699;2807
"2009";"Medemblik";27017;11039;2846
"2010";"Medemblik";27384;11189;2833
"2011";"Medemblik";42891;17208;4309
"2012";"Medemblik";43117;17346;4181
"2013";"Medemblik";43248;17528;4038
"2014";"Medemblik";43320;18124;3967
"2015";"Medemblik";43604;18237;3848
"2016";"Medemblik";43725;18402;3761
"2017";"Medemblik";44058;18607;3690
"2018";"Medemblik";44480;18774;3685
"2019";"Medemblik";44809;18957;3634
"2020";"Medemblik";45101;19100;3602
"2021";"Medemblik";45165;19211;3542
"2022";"Medemblik";45464;19387;
"2000";"Meerlo-Wanssum";7546;2778;803
"2001";"Meerlo-Wanssum";7670;2811;802
"2002";"Meerlo-Wanssum";7675;2845;802
"2003";"Meerlo-Wanssum";7732;2859;800
"2004";"Meerlo-Wanssum";7728;2891;779
"2005";"Meerlo-Wanssum";7748;2897;775
"2006";"Meerlo-Wanssum";7692;2919;762
"2007";"Meerlo-Wanssum";7660;2935;763
"2008";"Meerlo-Wanssum";7672;2976;769
"2009";"Meerlo-Wanssum";7767;2979;760
"2010";"Meerlo-Wanssum";;;
"2011";"Meerlo-Wanssum";;;
"2012";"Meerlo-Wanssum";;;
"2013";"Meerlo-Wanssum";;;
"2014";"Meerlo-Wanssum";;;
"2015";"Meerlo-Wanssum";;;
"2016";"Meerlo-Wanssum";;;
"2017";"Meerlo-Wanssum";;;
"2018";"Meerlo-Wanssum";;;
"2019";"Meerlo-Wanssum";;;
"2020";"Meerlo-Wanssum";;;
"2021";"Meerlo-Wanssum";;;
"2022";"Meerlo-Wanssum";;;
"2000";"Meerssen";20267;8025;1887
"2001";"Meerssen";20246;8066;1911
"2002";"Meerssen";20223;8107;1842
"2003";"Meerssen";20039;8137;1817
"2004";"Meerssen";19986;8152;1835
"2005";"Meerssen";19857;8165;1802
"2006";"Meerssen";19762;8203;1734
"2007";"Meerssen";19739;8252;1696
"2008";"Meerssen";19744;8454;1682
"2009";"Meerssen";19695;8463;1620
"2010";"Meerssen";19565;8445;1563
"2011";"Meerssen";19495;8494;1542
"2012";"Meerssen";19430;8345;1493
"2013";"Meerssen";19362;8360;1480
"2014";"Meerssen";19254;8385;1442
"2015";"Meerssen";19063;8445;1388
"2016";"Meerssen";19040;8569;1318
"2017";"Meerssen";19072;8590;1237
"2018";"Meerssen";19039;8587;1209
"2019";"Meerssen";18923;8603;1208
"2020";"Meerssen";18828;8629;1221
"2021";"Meerssen";18661;8640;1187
"2022";"Meerssen";18581;8677;
"2000";"Meierijstad";;;
"2001";"Meierijstad";;;
"2002";"Meierijstad";;;
"2003";"Meierijstad";;;
"2004";"Meierijstad";;;
"2005";"Meierijstad";;;
"2006";"Meierijstad";;;
"2007";"Meierijstad";;;
"2008";"Meierijstad";;;
"2009";"Meierijstad";;;
"2010";"Meierijstad";;;
"2011";"Meierijstad";;;
"2012";"Meierijstad";;;
"2013";"Meierijstad";;;
"2014";"Meierijstad";;;
"2015";"Meierijstad";;;
"2016";"Meierijstad";;;
"2017";"Meierijstad";79869;33148;6280
"2018";"Meierijstad";80148;33475;6301
"2019";"Meierijstad";80815;34102;6253
"2020";"Meierijstad";81194;34544;6290
"2021";"Meierijstad";81647;34895;6256
"2022";"Meierijstad";82613;35406;
"2000";"Meijel";5734;2062;614
"2001";"Meijel";5789;2074;634
"2002";"Meijel";5823;2089;638
"2003";"Meijel";5828;2111;623
"2004";"Meijel";5830;2148;626
"2005";"Meijel";5851;2145;617
"2006";"Meijel";5857;2147;595
"2007";"Meijel";5871;2201;580
"2008";"Meijel";5956;2279;575
"2009";"Meijel";5985;2306;558
"2010";"Meijel";;;
"2011";"Meijel";;;
"2012";"Meijel";;;
"2013";"Meijel";;;
"2014";"Meijel";;;
"2015";"Meijel";;;
"2016";"Meijel";;;
"2017";"Meijel";;;
"2018";"Meijel";;;
"2019";"Meijel";;;
"2020";"Meijel";;;
"2021";"Meijel";;;
"2022";"Meijel";;;
"2000";"Menaldumadeel";13855;5540;1567
"2001";"Menaldumadeel";14130;5606;1599
"2002";"Menaldumadeel";14230;5618;1562
"2003";"Menaldumadeel";14089;5627;1531
"2004";"Menaldumadeel";14017;5637;1522
"2005";"Menaldumadeel";13967;5648;1482
"2006";"Menaldumadeel";13884;5665;1492
"2007";"Menaldumadeel";13809;5691;1524
"2008";"Menaldumadeel";13710;5742;1491
"2009";"Menaldumadeel";13708;5756;1448
"2010";"Menaldumadeel";13748;5817;1399
"2011";"Menaldumadeel";;;
"2012";"Menaldumadeel";;;
"2013";"Menaldumadeel";;;
"2014";"Menaldumadeel";;;
"2015";"Menaldumadeel";;;
"2016";"Menaldumadeel";;;
"2017";"Menaldumadeel";;;
"2018";"Menaldumadeel";;;
"2019";"Menaldumadeel";;;
"2020";"Menaldumadeel";;;
"2021";"Menaldumadeel";;;
"2022";"Menaldumadeel";;;
"2000";"Menameradiel";;;
"2001";"Menameradiel";;;
"2002";"Menameradiel";;;
"2003";"Menameradiel";;;
"2004";"Menameradiel";;;
"2005";"Menameradiel";;;
"2006";"Menameradiel";;;
"2007";"Menameradiel";;;
"2008";"Menameradiel";;;
"2009";"Menameradiel";;;
"2010";"Menameradiel";;;
"2011";"Menameradiel";13774;5820;1371
"2012";"Menameradiel";13773;5630;1316
"2013";"Menameradiel";13727;5668;1262
"2014";"Menameradiel";13673;5831;1241
"2015";"Menameradiel";13612;5840;1241
"2016";"Menameradiel";13543;5851;1210
"2017";"Menameradiel";13454;5849;1175
"2018";"Menameradiel";;;
"2019";"Menameradiel";;;
"2020";"Menameradiel";;;
"2021";"Menameradiel";;;
"2022";"Menameradiel";;;
"2000";"Menterwolde";12547;5180;1125
"2001";"Menterwolde";12563;5179;1130
"2002";"Menterwolde";12635;5215;1133
"2003";"Menterwolde";12694;5221;1150
"2004";"Menterwolde";12621;5240;1152
"2005";"Menterwolde";12589;5270;1181
"2006";"Menterwolde";12618;5236;1156
"2007";"Menterwolde";12555;5257;1156
"2008";"Menterwolde";12498;5274;1132
"2009";"Menterwolde";12514;5292;1136
"2010";"Menterwolde";12503;5362;1105
"2011";"Menterwolde";12385;5340;1068
"2012";"Menterwolde";12358;5370;1048
"2013";"Menterwolde";12370;5369;1016
"2014";"Menterwolde";12258;5411;961
"2015";"Menterwolde";12197;5406;929
"2016";"Menterwolde";12233;5408;896
"2017";"Menterwolde";12162;5407;858
"2018";"Menterwolde";;;
"2019";"Menterwolde";;;
"2020";"Menterwolde";;;
"2021";"Menterwolde";;;
"2022";"Menterwolde";;;
"2000";"Meppel";29652;12548;3044
"2001";"Meppel";30037;12720;2988
"2002";"Meppel";30221;12860;3011
"2003";"Meppel";30588;12881;3066
"2004";"Meppel";30651;12917;3024
"2005";"Meppel";30397;13212;3075
"2006";"Meppel";30539;13220;3174
"2007";"Meppel";31087;13511;3302
"2008";"Meppel";31536;13683;3393
"2009";"Meppel";32026;13879;3462
"2010";"Meppel";32378;14066;3496
"2011";"Meppel";32511;14157;3485
"2012";"Meppel";32573;14352;3443
"2013";"Meppel";32726;14686;3401
"2014";"Meppel";32867;15101;3371
"2015";"Meppel";32799;15076;3314
"2016";"Meppel";32794;15177;3221
"2017";"Meppel";33025;15388;3211
"2018";"Meppel";33410;15586;3155
"2019";"Meppel";33564;15658;3101
"2020";"Meppel";33920;15851;3022
"2021";"Meppel";34386;16106;2944
"2022";"Meppel";34761;16297;
"2000";"Middelburg (Z.)";44920;19636;4226
"2001";"Middelburg (Z.)";45427;19660;4357
"2002";"Middelburg (Z.)";45608;19816;4278
"2003";"Middelburg (Z.)";46214;19996;4317
"2004";"Middelburg (Z.)";46350;20012;4320
"2005";"Middelburg (Z.)";46548;20255;4340
"2006";"Middelburg (Z.)";46974;20684;4353
"2007";"Middelburg (Z.)";47267;20901;4352
"2008";"Middelburg (Z.)";47325;21176;4612
"2009";"Middelburg (Z.)";47559;21473;4625
"2010";"Middelburg (Z.)";47997;21855;4488
"2011";"Middelburg (Z.)";48030;21935;4390
"2012";"Middelburg (Z.)";47768;22576;4302
"2013";"Middelburg (Z.)";47523;22739;4229
"2014";"Middelburg (Z.)";47642;23169;4178
"2015";"Middelburg (Z.)";47613;23008;4148
"2016";"Middelburg (Z.)";47873;23004;4147
"2017";"Middelburg (Z.)";48019;23167;4150
"2018";"Middelburg (Z.)";48303;23349;4186
"2019";"Middelburg (Z.)";48544;23532;4212
"2020";"Middelburg (Z.)";48822;23683;4163
"2021";"Middelburg (Z.)";48964;23906;4105
"2022";"Middelburg (Z.)";49199;24059;
"2000";"Middelharnis";16759;6401;1830
"2001";"Middelharnis";17039;6476;1820
"2002";"Middelharnis";17224;6523;1815
"2003";"Middelharnis";17346;6672;1809
"2004";"Middelharnis";17450;6720;1756
"2005";"Middelharnis";17485;6745;1773
"2006";"Middelharnis";17681;6910;1759
"2007";"Middelharnis";17792;6957;1740
"2008";"Middelharnis";17689;7186;1741
"2009";"Middelharnis";17985;7399;1745
"2010";"Middelharnis";17950;7431;1710
"2011";"Middelharnis";18050;7510;1677
"2012";"Middelharnis";18049;7586;1672
"2013";"Middelharnis";;;
"2014";"Middelharnis";;;
"2015";"Middelharnis";;;
"2016";"Middelharnis";;;
"2017";"Middelharnis";;;
"2018";"Middelharnis";;;
"2019";"Middelharnis";;;
"2020";"Middelharnis";;;
"2021";"Middelharnis";;;
"2022";"Middelharnis";;;
"2000";"Midden-Delfland";;;
"2001";"Midden-Delfland";;;
"2002";"Midden-Delfland";;;
"2003";"Midden-Delfland";;;
"2004";"Midden-Delfland";17072;6300;2244
"2005";"Midden-Delfland";17054;6426;2223
"2006";"Midden-Delfland";17435;6590;2220
"2007";"Midden-Delfland";17536;6605;2250
"2008";"Midden-Delfland";17451;6641;2278
"2009";"Midden-Delfland";17598;6801;2221
"2010";"Midden-Delfland";17890;7014;2202
"2011";"Midden-Delfland";18154;7111;2175
"2012";"Midden-Delfland";18225;7195;2157
"2013";"Midden-Delfland";18251;7281;2108
"2014";"Midden-Delfland";18456;7449;2124
"2015";"Midden-Delfland";18709;7578;2143
"2016";"Midden-Delfland";18873;7649;2151
"2017";"Midden-Delfland";19034;7727;2242
"2018";"Midden-Delfland";19338;7836;2268
"2019";"Midden-Delfland";19391;7883;2309
"2020";"Midden-Delfland";19341;7904;2360
"2021";"Midden-Delfland";19414;7996;2361
"2022";"Midden-Delfland";19484;8052;
"2000";"Midden-Drenthe";32394;12532;3271
"2001";"Midden-Drenthe";32813;12553;3246
"2002";"Midden-Drenthe";32691;12553;3189
"2003";"Midden-Drenthe";32826;12730;3237
"2004";"Midden-Drenthe";32806;12974;3294
"2005";"Midden-Drenthe";32984;13054;3347
"2006";"Midden-Drenthe";33282;13137;3332
"2007";"Midden-Drenthe";33545;13413;3371
"2008";"Midden-Drenthe";33587;13521;3328
"2009";"Midden-Drenthe";33560;13637;3258
"2010";"Midden-Drenthe";33560;13799;3169
"2011";"Midden-Drenthe";33581;13864;3079
"2012";"Midden-Drenthe";33558;13950;2955
"2013";"Midden-Drenthe";33422;13986;2811
"2014";"Midden-Drenthe";33366;13976;2695
"2015";"Midden-Drenthe";33284;14045;2692
"2016";"Midden-Drenthe";33450;14030;2576
"2017";"Midden-Drenthe";33399;14156;2427
"2018";"Midden-Drenthe";33172;14304;2370
"2019";"Midden-Drenthe";33178;14313;2309
"2020";"Midden-Drenthe";33185;14378;2290
"2021";"Midden-Drenthe";33381;14413;2328
"2022";"Midden-Drenthe";33689;14674;
"2000";"Midden-Groningen";;;
"2001";"Midden-Groningen";;;
"2002";"Midden-Groningen";;;
"2003";"Midden-Groningen";;;
"2004";"Midden-Groningen";;;
"2005";"Midden-Groningen";;;
"2006";"Midden-Groningen";;;
"2007";"Midden-Groningen";;;
"2008";"Midden-Groningen";;;
"2009";"Midden-Groningen";;;
"2010";"Midden-Groningen";;;
"2011";"Midden-Groningen";;;
"2012";"Midden-Groningen";;;
"2013";"Midden-Groningen";;;
"2014";"Midden-Groningen";;;
"2015";"Midden-Groningen";;;
"2016";"Midden-Groningen";;;
"2017";"Midden-Groningen";;;
"2018";"Midden-Groningen";60953;28025;4570
"2019";"Midden-Groningen";60899;28074;4490
"2020";"Midden-Groningen";60797;28167;4349
"2021";"Midden-Groningen";60726;28154;4276
"2022";"Midden-Groningen";60898;28313;
"2000";"Middenschouwen";;;
"2001";"Middenschouwen";;;
"2002";"Middenschouwen";;;
"2003";"Middenschouwen";;;
"2004";"Middenschouwen";;;
"2005";"Middenschouwen";;;
"2006";"Middenschouwen";;;
"2007";"Middenschouwen";;;
"2008";"Middenschouwen";;;
"2009";"Middenschouwen";;;
"2010";"Middenschouwen";;;
"2011";"Middenschouwen";;;
"2012";"Middenschouwen";;;
"2013";"Middenschouwen";;;
"2014";"Middenschouwen";;;
"2015";"Middenschouwen";;;
"2016";"Middenschouwen";;;
"2017";"Middenschouwen";;;
"2018";"Middenschouwen";;;
"2019";"Middenschouwen";;;
"2020";"Middenschouwen";;;
"2021";"Middenschouwen";;;
"2022";"Middenschouwen";;;
"2000";"Middenveld";;;
"2001";"Middenveld";;;
"2002";"Middenveld";;;
"2003";"Middenveld";;;
"2004";"Middenveld";;;
"2005";"Middenveld";;;
"2006";"Middenveld";;;
"2007";"Middenveld";;;
"2008";"Middenveld";;;
"2009";"Middenveld";;;
"2010";"Middenveld";;;
"2011";"Middenveld";;;
"2012";"Middenveld";;;
"2013";"Middenveld";;;
"2014";"Middenveld";;;
"2015";"Middenveld";;;
"2016";"Middenveld";;;
"2017";"Middenveld";;;
"2018";"Middenveld";;;
"2019";"Middenveld";;;
"2020";"Middenveld";;;
"2021";"Middenveld";;;
"2022";"Middenveld";;;
"2000";"Mierlo";10180;3859;1031
"2001";"Mierlo";10219;3889;995
"2002";"Mierlo";10267;3900;995
"2003";"Mierlo";10168;3923;957
"2004";"Mierlo";;;
"2005";"Mierlo";;;
"2006";"Mierlo";;;
"2007";"Mierlo";;;
"2008";"Mierlo";;;
"2009";"Mierlo";;;
"2010";"Mierlo";;;
"2011";"Mierlo";;;
"2012";"Mierlo";;;
"2013";"Mierlo";;;
"2014";"Mierlo";;;
"2015";"Mierlo";;;
"2016";"Mierlo";;;
"2017";"Mierlo";;;
"2018";"Mierlo";;;
"2019";"Mierlo";;;
"2020";"Mierlo";;;
"2021";"Mierlo";;;
"2022";"Mierlo";;;
"2000";"Mill en Sint Hubert";11097;4071;1179
"2001";"Mill en Sint Hubert";11091;4106;1176
"2002";"Mill en Sint Hubert";11103;4127;1182
"2003";"Mill en Sint Hubert";11108;4141;1206
"2004";"Mill en Sint Hubert";11044;4164;1177
"2005";"Mill en Sint Hubert";11047;4178;1181
"2006";"Mill en Sint Hubert";11057;4209;1186
"2007";"Mill en Sint Hubert";11007;4212;1152
"2008";"Mill en Sint Hubert";10996;4233;1129
"2009";"Mill en Sint Hubert";11027;4299;1126
"2010";"Mill en Sint Hubert";11031;4322;1124
"2011";"Mill en Sint Hubert";11000;4327;1080
"2012";"Mill en Sint Hubert";10926;4378;1045
"2013";"Mill en Sint Hubert";10906;4437;981
"2014";"Mill en Sint Hubert";10850;4514;939
"2015";"Mill en Sint Hubert";10831;4511;912
"2016";"Mill en Sint Hubert";10801;4440;869
"2017";"Mill en Sint Hubert";10807;4494;796
"2018";"Mill en Sint Hubert";10831;4531;789
"2019";"Mill en Sint Hubert";10891;4569;725
"2020";"Mill en Sint Hubert";10939;4627;697
"2021";"Mill en Sint Hubert";11004;4658;702
"2022";"Mill en Sint Hubert";;;
"2000";"Millingen aan de Rijn";5875;2291;611
"2001";"Millingen aan de Rijn";5871;2300;581
"2002";"Millingen aan de Rijn";5931;2322;585
"2003";"Millingen aan de Rijn";5911;2337;583
"2004";"Millingen aan de Rijn";5914;2347;573
"2005";"Millingen aan de Rijn";5888;2364;587
"2006";"Millingen aan de Rijn";5848;2345;600
"2007";"Millingen aan de Rijn";5866;2343;610
"2008";"Millingen aan de Rijn";5876;2406;598
"2009";"Millingen aan de Rijn";5857;2405;607
"2010";"Millingen aan de Rijn";5914;2473;594
"2011";"Millingen aan de Rijn";5921;2493;578
"2012";"Millingen aan de Rijn";5903;2486;547
"2013";"Millingen aan de Rijn";5924;2528;496
"2014";"Millingen aan de Rijn";5876;2564;474
"2015";"Millingen aan de Rijn";;;
"2016";"Millingen aan de Rijn";;;
"2017";"Millingen aan de Rijn";;;
"2018";"Millingen aan de Rijn";;;
"2019";"Millingen aan de Rijn";;;
"2020";"Millingen aan de Rijn";;;
"2021";"Millingen aan de Rijn";;;
"2022";"Millingen aan de Rijn";;;
"2000";"Moerdijk";36312;14455;3414
"2001";"Moerdijk";36456;14513;3414
"2002";"Moerdijk";36433;14533;3422
"2003";"Moerdijk";36553;14682;3457
"2004";"Moerdijk";36775;14779;3479
"2005";"Moerdijk";36785;14863;3446
"2006";"Moerdijk";36676;14970;3487
"2007";"Moerdijk";36645;15122;3496
"2008";"Moerdijk";36724;15316;3517
"2009";"Moerdijk";36648;15350;3459
"2010";"Moerdijk";36536;15375;3390
"2011";"Moerdijk";36547;15496;3328
"2012";"Moerdijk";36522;15708;3299
"2013";"Moerdijk";36625;15812;3191
"2014";"Moerdijk";36729;15970;3065
"2015";"Moerdijk";36816;16077;3041
"2016";"Moerdijk";36762;16116;2976
"2017";"Moerdijk";36944;16315;2937
"2018";"Moerdijk";36967;16340;2943
"2019";"Moerdijk";36961;16407;2873
"2020";"Moerdijk";37129;16501;2723
"2021";"Moerdijk";37185;16629;2655
"2022";"Moerdijk";37313;16672;
"2000";"Moergestel";;;
"2001";"Moergestel";;;
"2002";"Moergestel";;;
"2003";"Moergestel";;;
"2004";"Moergestel";;;
"2005";"Moergestel";;;
"2006";"Moergestel";;;
"2007";"Moergestel";;;
"2008";"Moergestel";;;
"2009";"Moergestel";;;
"2010";"Moergestel";;;
"2011";"Moergestel";;;
"2012";"Moergestel";;;
"2013";"Moergestel";;;
"2014";"Moergestel";;;
"2015";"Moergestel";;;
"2016";"Moergestel";;;
"2017";"Moergestel";;;
"2018";"Moergestel";;;
"2019";"Moergestel";;;
"2020";"Moergestel";;;
"2021";"Moergestel";;;
"2022";"Moergestel";;;
"2000";"Molenlanden";;;
"2001";"Molenlanden";;;
"2002";"Molenlanden";;;
"2003";"Molenlanden";;;
"2004";"Molenlanden";;;
"2005";"Molenlanden";;;
"2006";"Molenlanden";;;
"2007";"Molenlanden";;;
"2008";"Molenlanden";;;
"2009";"Molenlanden";;;
"2010";"Molenlanden";;;
"2011";"Molenlanden";;;
"2012";"Molenlanden";;;
"2013";"Molenlanden";;;
"2014";"Molenlanden";;;
"2015";"Molenlanden";;;
"2016";"Molenlanden";;;
"2017";"Molenlanden";;;
"2018";"Molenlanden";;;
"2019";"Molenlanden";43858;17160;4159
"2020";"Molenlanden";43909;17205;4122
"2021";"Molenlanden";44130;17340;4083
"2022";"Molenlanden";44644;17625;
"2000";"Molenwaard";;;
"2001";"Molenwaard";;;
"2002";"Molenwaard";;;
"2003";"Molenwaard";;;
"2004";"Molenwaard";;;
"2005";"Molenwaard";;;
"2006";"Molenwaard";;;
"2007";"Molenwaard";;;
"2008";"Molenwaard";;;
"2009";"Molenwaard";;;
"2010";"Molenwaard";;;
"2011";"Molenwaard";;;
"2012";"Molenwaard";;;
"2013";"Molenwaard";29190;10840;3204
"2014";"Molenwaard";29032;10938;3132
"2015";"Molenwaard";28993;10941;3095
"2016";"Molenwaard";29067;11021;3074
"2017";"Molenwaard";29212;11109;2988
"2018";"Molenwaard";29295;11206;3034
"2019";"Molenwaard";;;
"2020";"Molenwaard";;;
"2021";"Molenwaard";;;
"2022";"Molenwaard";;;
"2000";"Monster";20228;7618;2085
"2001";"Monster";20196;7659;1987
"2002";"Monster";20239;7740;2063
"2003";"Monster";20446;7885;2067
"2004";"Monster";;;
"2005";"Monster";;;
"2006";"Monster";;;
"2007";"Monster";;;
"2008";"Monster";;;
"2009";"Monster";;;
"2010";"Monster";;;
"2011";"Monster";;;
"2012";"Monster";;;
"2013";"Monster";;;
"2014";"Monster";;;
"2015";"Monster";;;
"2016";"Monster";;;
"2017";"Monster";;;
"2018";"Monster";;;
"2019";"Monster";;;
"2020";"Monster";;;
"2021";"Monster";;;
"2022";"Monster";;;
"2000";"Montferland";;;
"2001";"Montferland";;;
"2002";"Montferland";;;
"2003";"Montferland";;;
"2004";"Montferland";;;
"2005";"Montferland";35263;13441;3591
"2006";"Montferland";35190;13634;3543
"2007";"Montferland";35054;13700;3582
"2008";"Montferland";34995;13980;3561
"2009";"Montferland";35103;14073;3517
"2010";"Montferland";35179;14200;3422
"2011";"Montferland";34976;14400;3227
"2012";"Montferland";35043;14625;3077
"2013";"Montferland";34834;14738;2906
"2014";"Montferland";34987;14933;2783
"2015";"Montferland";35150;15170;2638
"2016";"Montferland";35173;15281;2483
"2017";"Montferland";35316;15385;2434
"2018";"Montferland";35627;15525;2392
"2019";"Montferland";36026;15727;2363
"2020";"Montferland";36011;15917;2314
"2021";"Montferland";36031;16016;2344
"2022";"Montferland";36359;16086;
"2000";"Montfoort";13372;4825;1583
"2001";"Montfoort";13285;4973;1559
"2002";"Montfoort";13298;4977;1607
"2003";"Montfoort";13339;4977;1629
"2004";"Montfoort";13367;5081;1645
"2005";"Montfoort";13438;5083;1660
"2006";"Montfoort";13506;5168;1665
"2007";"Montfoort";13474;5168;1661
"2008";"Montfoort";13493;5181;1654
"2009";"Montfoort";13484;5234;1608
"2010";"Montfoort";13494;5256;1582
"2011";"Montfoort";13500;5285;1549
"2012";"Montfoort";13601;5350;1545
"2013";"Montfoort";13621;5443;1487
"2014";"Montfoort";13639;5483;1451
"2015";"Montfoort";13672;5506;1410
"2016";"Montfoort";13783;5572;1377
"2017";"Montfoort";13866;5667;1329
"2018";"Montfoort";13879;5730;1296
"2019";"Montfoort";13996;5733;1245
"2020";"Montfoort";13917;5740;1239
"2021";"Montfoort";13896;5756;1209
"2022";"Montfoort";13818;5775;
"2000";"Mook en Middelaar";7833;3162;753
"2001";"Mook en Middelaar";7978;3213;753
"2002";"Mook en Middelaar";7947;3225;748
"2003";"Mook en Middelaar";8011;3237;745
"2004";"Mook en Middelaar";7977;3237;751
"2005";"Mook en Middelaar";8010;3263;752
"2006";"Mook en Middelaar";8016;3270;750
"2007";"Mook en Middelaar";8029;3270;756
"2008";"Mook en Middelaar";8084;3337;759
"2009";"Mook en Middelaar";8040;3343;743
"2010";"Mook en Middelaar";8049;3373;721
"2011";"Mook en Middelaar";7947;3374;685
"2012";"Mook en Middelaar";7874;3476;667
"2013";"Mook en Middelaar";7827;3489;625
"2014";"Mook en Middelaar";7796;3518;577
"2015";"Mook en Middelaar";7762;3544;557
"2016";"Mook en Middelaar";7755;3561;518
"2017";"Mook en Middelaar";7775;3563;505
"2018";"Mook en Middelaar";7768;3617;496
"2019";"Mook en Middelaar";7806;3579;478
"2020";"Mook en Middelaar";7847;3591;460
"2021";"Mook en Middelaar";7909;3667;439
"2022";"Mook en Middelaar";7989;3680;
"2000";"Moordrecht";7692;2817;883
"2001";"Moordrecht";7932;2877;895
"2002";"Moordrecht";8118;2934;896
"2003";"Moordrecht";8079;2929;910
"2004";"Moordrecht";8110;2927;901
"2005";"Moordrecht";8081;2944;907
"2006";"Moordrecht";8095;2978;902
"2007";"Moordrecht";8121;2981;887
"2008";"Moordrecht";8155;3033;881
"2009";"Moordrecht";8138;3066;854
"2010";"Moordrecht";;;
"2011";"Moordrecht";;;
"2012";"Moordrecht";;;
"2013";"Moordrecht";;;
"2014";"Moordrecht";;;
"2015";"Moordrecht";;;
"2016";"Moordrecht";;;
"2017";"Moordrecht";;;
"2018";"Moordrecht";;;
"2019";"Moordrecht";;;
"2020";"Moordrecht";;;
"2021";"Moordrecht";;;
"2022";"Moordrecht";;;
"2000";"Muiden";6808;2740;821
"2001";"Muiden";6770;2740;831
"2002";"Muiden";6726;2739;852
"2003";"Muiden";6647;2741;841
"2004";"Muiden";6656;2741;852
"2005";"Muiden";6675;2741;851
"2006";"Muiden";6645;2740;869
"2007";"Muiden";6657;2741;897
"2008";"Muiden";6608;2758;875
"2009";"Muiden";6561;2761;887
"2010";"Muiden";6500;2764;892
"2011";"Muiden";6499;2764;919
"2012";"Muiden";6466;2754;901
"2013";"Muiden";6393;2755;871
"2014";"Muiden";6287;2800;816
"2015";"Muiden";6249;2781;780
"2016";"Muiden";;;
"2017";"Muiden";;;
"2018";"Muiden";;;
"2019";"Muiden";;;
"2020";"Muiden";;;
"2021";"Muiden";;;
"2022";"Muiden";;;
"2000";"Naaldwijk";29092;10900;3228
"2001";"Naaldwijk";29061;11005;3210
"2002";"Naaldwijk";28928;11044;3069
"2003";"Naaldwijk";28774;11068;2961
"2004";"Naaldwijk";;;
"2005";"Naaldwijk";;;
"2006";"Naaldwijk";;;
"2007";"Naaldwijk";;;
"2008";"Naaldwijk";;;
"2009";"Naaldwijk";;;
"2010";"Naaldwijk";;;
"2011";"Naaldwijk";;;
"2012";"Naaldwijk";;;
"2013";"Naaldwijk";;;
"2014";"Naaldwijk";;;
"2015";"Naaldwijk";;;
"2016";"Naaldwijk";;;
"2017";"Naaldwijk";;;
"2018";"Naaldwijk";;;
"2019";"Naaldwijk";;;
"2020";"Naaldwijk";;;
"2021";"Naaldwijk";;;
"2022";"Naaldwijk";;;
"2000";"Naarden";17006;7237;1319
"2001";"Naarden";16872;7236;1386
"2002";"Naarden";16960;7249;1472
"2003";"Naarden";16947;7249;1543
"2004";"Naarden";17031;7280;1603
"2005";"Naarden";17110;7282;1633
"2006";"Naarden";17104;7331;1693
"2007";"Naarden";17168;7396;1738
"2008";"Naarden";17140;7421;1734
"2009";"Naarden";16998;7440;1750
"2010";"Naarden";17152;7477;1755
"2011";"Naarden";17185;7477;1796
"2012";"Naarden";17163;7517;1788
"2013";"Naarden";17263;7527;1758
"2014";"Naarden";17205;7553;1719
"2015";"Naarden";17209;7666;1732
"2016";"Naarden";;;
"2017";"Naarden";;;
"2018";"Naarden";;;
"2019";"Naarden";;;
"2020";"Naarden";;;
"2021";"Naarden";;;
"2022";"Naarden";;;
"2000";"Neder-Betuwe";;;
"2001";"Neder-Betuwe";;;
"2002";"Neder-Betuwe";;;
"2003";"Neder-Betuwe";;;
"2004";"Neder-Betuwe";22289;7446;2730
"2005";"Neder-Betuwe";22359;7456;2733
"2006";"Neder-Betuwe";22378;7473;2750
"2007";"Neder-Betuwe";22309;7553;2733
"2008";"Neder-Betuwe";22424;7589;2772
"2009";"Neder-Betuwe";22561;7665;2763
"2010";"Neder-Betuwe";22553;7757;2741
"2011";"Neder-Betuwe";22620;7781;2702
"2012";"Neder-Betuwe";22614;8085;2621
"2013";"Neder-Betuwe";22593;8052;2555
"2014";"Neder-Betuwe";22555;8048;2561
"2015";"Neder-Betuwe";22728;8250;2572
"2016";"Neder-Betuwe";23049;8391;2558
"2017";"Neder-Betuwe";23303;8510;2576
"2018";"Neder-Betuwe";23615;8625;2581
"2019";"Neder-Betuwe";24034;8748;2582
"2020";"Neder-Betuwe";24339;8867;2605
"2021";"Neder-Betuwe";24648;8912;2631
"2022";"Neder-Betuwe";25032;9021;
"2000";"Nederhorst den Berg";5123;1972;532
"2001";"Nederhorst den Berg";5076;1972;545
"2002";"Nederhorst den Berg";;;
"2003";"Nederhorst den Berg";;;
"2004";"Nederhorst den Berg";;;
"2005";"Nederhorst den Berg";;;
"2006";"Nederhorst den Berg";;;
